Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
11,Calassy,2,2,2,1,2,2,3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,4,1,3,4,-25,-14,-39
13,FIRE_321,2,3,2,3,2,2,2,3,2,1,2,2,2,2,2,1,3,2,3,3,3,3,3,3,3,3,2,2,2,2,4,2,4,2,2,2,-25,-13,-38
13,Lake180,2,3,2,2,2,2,2,4,2,1,2,2,2,3,4,2,2,2,2,2,3,3,3,3,3,2,3,3,2,2,2,2,3,2,2,3,-22,-16,-38
13,Stewie,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,2,3,4,2,2,2,4,3,2,3,3,4,3,2,2,3,2,4,1,2,3,-24,-14,-38
16,YUK1N,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,2,3,3,2,2,2,3,3,2,3,2,2,3,2,2,2,2,4,2,3,4,-21,-16,-37
17,Fatfat42,2,2,2,4,2,2,2,1,4,1,2,2,2,2,2,2,3,2,2,2,3,3,3,4,3,3,3,3,2,2,3,2,3,2,1,5,-24,-12,-36
17,Peach,2,2,2,2,2,3,2,2,2,1,2,3,1,4,2,2,4,4,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,2,2,2,-21,-15,-36
17,SD_Diver,2,3,2,2,3,2,2,3,2,1,2,3,2,3,2,3,3,2,1,2,3,3,3,3,3,3,3,4,2,2,2,2,3,2,2,3,-21,-15,-36
17,Zanetti,2,2,2,2,3,2,2,3,2,2,2,2,2,3,4,1,3,1,2,2,2,3,2,4,3,3,2,4,2,2,3,3,3,2,2,4,-23,-13,-36
21,StrokeLimitReached,2,2,2,4,2,2,2,4,2,1,2,2,2,2,4,1,4,1,2,2,4,3,3,3,3,2,3,2,2,3,4,2,4,2,2,3,-22,-12,-34
22,Midaswell,1,2,2,2,2,2,2,2,3,3,3,2,3,4,2,3,3,5,2,2,2,3,3,3,3,2,2,2,2,2,2,3,4,1,2,5,-17,-16,-33
22,SteveSkillman,2,2,2,2,3,3,2,3,2,4,5,2,2,2,2,1,2,4,2,2,2,3,2,3,3,3,3,3,2,2,3,2,3,1,2,5,-18,-15,-33
24,G0nz0nater,2,3,2,1,3,2,3,3,2,3,4,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,5,1,5,2,-20,-12,-32
24,Gopats37,2,3,2,2,3,2,2,2,2,1,4,2,2,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,2,5,-21,-11,-32
24,Squidy19,2,2,2,2,2,2,2,5,2,1,2,3,2,3,2,2,4,4,2,2,2,3,3,2,3,3,2,3,3,2,2,3,4,2,2,5,-19,-13,-32
24,WickedShack,2,3,3,2,3,3,2,3,2,1,2,2,2,3,1,3,3,2,2,2,4,3,3,5,3,4,2,2,1,2,2,3,4,1,3,4,-21,-11,-32
28,D3bb13,3,2,2,2,2,2,2,3,4,1,2,3,2,2,1,4,3,5,2,2,3,4,3,2,3,3,2,3,2,2,3,2,4,2,3,3,-18,-13,-31
28,FainNeinGudTwain,2,2,3,2,2,2,2,4,2,1,2,3,3,2,2,2,5,3,2,3,2,3,3,3,3,4,2,3,2,2,4,3,3,3,2,2,-19,-12,-31
