Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
20,ARMY_OF_ONE,2,2,3,2,2,1,2,3,2,3,3,2,2,2,2,1,2,3,3,2,3,2,4,4,2,2,3,3,4,3,5,3,4,2,3,4,-16,-11,-27
20,ElJorge,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,4,3,2,3,2,2,3,6,2,3,4,2,2,4,3,4,2,3,4,-14,-13,-27
20,YUK1N,2,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,1,2,2,2,3,2,3,4,4,2,3,5,2,3,5,3,4,4,2,3,-16,-11,-27
23,D3bb13,2,3,2,4,2,2,3,2,2,4,3,2,3,2,2,3,1,3,3,2,3,2,3,4,2,2,3,4,2,3,4,3,4,3,2,2,-10,-16,-26
23,G0nz0nater,3,2,3,2,2,1,3,2,2,2,2,1,2,2,2,3,2,2,3,2,5,2,1,4,4,2,3,4,2,3,4,3,5,4,3,4,-17,-9,-26
23,TIGERHOODS,2,2,2,3,4,1,2,3,3,2,3,2,2,2,1,2,1,3,2,3,3,2,4,4,3,2,4,3,2,3,4,4,3,2,4,4,-15,-11,-26
23,rockthecraft,2,3,3,3,3,2,3,3,2,3,3,2,2,3,2,1,1,2,2,2,3,2,2,4,2,2,3,5,3,2,4,3,4,3,3,4,-12,-14,-26
27,Calassy,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,4,2,4,4,2,2,4,2,3,5,2,8,3,2,7,-18,-7,-25
27,GUS,2,2,2,2,2,2,3,3,2,2,2,1,2,2,2,2,1,3,2,2,3,2,4,3,2,3,3,4,2,2,5,3,5,6,3,6,-18,-7,-25
27,Matt916,2,2,5,3,2,3,2,4,3,2,2,1,3,3,2,1,1,2,3,2,2,2,3,4,5,2,2,4,2,2,3,4,4,4,2,4,-12,-13,-25
27,Mike190,2,1,3,2,2,2,4,4,2,2,3,2,2,2,2,2,2,3,2,2,2,3,1,4,4,2,3,4,2,3,5,3,3,4,3,5,-13,-12,-25
31,DERBY_DAZ,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,3,1,2,3,3,3,3,4,3,6,2,3,4,2,2,4,3,4,2,2,6,-16,-8,-24
